{\rtf1\ansi\ansicpg1252\cocoartf2511
\cocoatextscaling0\cocoaplatform0{\fonttbl\f0\fswiss\fcharset0 Helvetica;}
{\colortbl;\red255\green255\blue255;}
{\*\expandedcolortbl;;}
\margl1440\margr1440\vieww10800\viewh8400\viewkind0
\pard\tx720\tx1440\tx2160\tx2880\tx3600\tx4320\tx5040\tx5760\tx6480\tx7200\tx7920\tx8640\pardirnatural\partightenfactor0

\f0\fs24 \cf0 date,value_,county\
2010-01-01,93.98405645582854,Cook\
2010-01-13,104.67936839815752,Cook\
2010-01-13,217.0,Cook\
2010-01-13,101.75530462549463,Cook\
2010-01-17,248.85714285714286,Cook\
2010-01-19,96.87618411589436,Cook\
2010-01-19,83.98844693391206,Cook\
2010-01-28,99.2470437017995,Cook\
2010-01-28,176.2,Cook\
2010-01-29,166.09972337103886,Cook\
2010-01-30,123.26181660555923,Cook\
2010-02-07,313.4749577940349,Cook\
2010-02-07,290.6666666666667,Cook\
2010-02-07,222.61886292223096,Cook\
2010-02-11,100.33333333333333,Cook\
2010-02-11,170.86034388147064,Cook\
2010-02-12,126.93407268840193,Cook\
2010-02-12,165.76470588235293,Cook\
2010-02-13,68.8296120384799,Cook\
2010-02-13,97.80429081150315,Cook\
2010-02-14,117.87099420849425,Cook\
2010-02-14,90.46184371184373,Cook\
2010-02-14,119.37249827850465,Cook\
2010-02-18,75.30996686209534,Cook\
2010-02-18,99.77251160912586,Cook\
2010-02-18,113.69814546105083,Cook\
2010-02-19,97.397199323384,Cook\
2010-02-19,80.70369018496864,Cook\
2010-02-25,176.35705917575697,Cook\
2010-02-25,145.25681503820775,Cook\
2010-03-03,362.3333333333333,Cook\
2010-03-03,178.78887609980688,Cook\
2010-03-04,76.27405531749139,Cook\
2010-03-04,77.23491250671213,Cook\
2010-03-04,66.80264908349037,Cook\
2010-03-05,75.47940241894631,Cook\
2010-03-05,58.68999109721966,Cook\
2010-03-06,91.29162779278175,Cook\
2010-03-06,112.5230822574395,Cook\
2010-03-06,125.7163860530799,Cook\
2010-03-10,453.44615384615383,Cook\
2010-03-14,120.43558725721721,Cook\
2010-03-14,115.32905492512785,Cook\
2010-03-16,62.28086674503748,Cook\
2010-03-16,85.62996384776382,Cook\
2010-03-16,37.308348107580514,Cook\
2010-03-17,29.766515555628995,Cook\
2010-03-17,29.70325668683278,Cook\
2010-03-18,118.83774876410193,Cook\
2010-03-18,181.47438752783964,Cook\
2010-03-18,112.31684835843188,Cook\
2010-03-19,127.73802171894715,Cook\
2010-03-21,380.9616175935731,Cook\
2010-03-22,131.45311001254333,Cook\
2010-03-22,106.10058528421065,Cook\
2010-03-22,77.29716417465801,Cook\
2010-03-23,69.99189942773357,Cook\
2010-03-23,87.26442995772572,Cook\
2010-03-23,35.80324420433572,Cook\
2010-03-26,67.96694940685151,Cook\
2010-03-26,57.595739650206845,Cook\
2010-03-27,266.0769230769231,Cook\
2010-03-28,249.4392771084337,Cook\
2010-03-28,216.8009950248757,Cook\
2010-03-29,257.6003801624331,Cook\
2010-03-29,107.677904075277,Cook\
2010-03-29,52.87709318675721,Cook\
2010-03-30,271.614565366472,Cook\
2010-03-30,236.9123419372468,Cook\
2010-04-01,174.09350374407023,Cook\
2010-04-01,156.748331611209,Cook\
2010-04-03,138.8121132638873,Cook\
2010-04-04,218.21394484323602,Cook\
2010-04-05,133.73541792444416,Cook\
2010-04-05,187.9976778357628,Cook\
2010-04-05,218.2135602763161,Cook\
2010-04-09,112.58806183308332,Cook\
2010-04-09,104.35757598134569,Cook\
2010-04-10,432.93760133034385,Cook\
2010-04-10,463.857919354513,Cook\
2010-04-10,352.885887340499,Cook\
2010-04-12,389.75498471328666,Cook\
